id,notaventa,monto,tipo
936,22481,201695,"Contra Entrega"
937,22482,249300,"Mercado Libre"
938,22483,10800,"Mercado Libre"
939,22484,33728,"Mercado Libre"
940,22485,115829,"Mercado Libre"
941,22486,91000,Efectivo
942,22487,127900,"Contra Entrega"
943,22488,523000,Efectivo
944,22491,403685,Efectivo
945,22491,3500,"Contra Entrega"
946,22496,52380,Efectivo
947,22497,106900,"Mercado Libre"
948,22498,14182,"Mercado Libre"
949,22499,3833,"Mercado Libre"
950,22500,584.5,Efectivo
951,22501,10000,Efectivo
952,22508,458850,Tarjeta
953,22508,7000,"Contra Entrega"
954,22512,0,Efectivo
955,22513,201600,"Transferencia Bancaria"
956,22514,866000,"Contra Entrega"
